Ehdokasnumero,Sukunimi,Etunimi,Ehdokasnimi,,Puhelin,Email,Postiosoite,Postitoimipaikka,Vaaliliiton ID,Vaaliliitto,Tiedekuntakoodi (random),Huomioita
333,Leppänen,Joonas,"Leppänen, Joonas",,,etunimi.sukunimi.331@example.com,Testiosoite 332,10331,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,ML,
334,Lindgren,Eetu Kai Matias,"Lindgren, Eetu",,,etunimi.sukunimi.332@example.com,Testiosoite 333,10332,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,V,
335,Loikkanen,Silva Elina,"Loikkanen, Silva",,,etunimi.sukunimi.333@example.com,Testiosoite 334,10333,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,O,
336,Lundqvist,Agneta Maria Helena,"Lundqvist, Agneta",,,etunimi.sukunimi.334@example.com,Testiosoite 335,10334,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,B,
337,Lyyra,Anna-Gerissa,"Lyyra, Gerissa",,,etunimi.sukunimi.335@example.com,Testiosoite 336,10335,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,T,
338,Nevalainen,Laika Katriina,"Nevalainen, Laika",,,etunimi.sukunimi.336@example.com,Testiosoite 337,10336,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,L,
339,Niiranen,Esko Paavo,"Niiranen, Esko",,,etunimi.sukunimi.337@example.com,Testiosoite 338,10337,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,MM,
340,Norema,Anne Elina,"Norema, Anne",,,etunimi.sukunimi.338@example.com,Testiosoite 339,10338,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,K,
341,Nuortimo,Jussi Elias,"Nuortimo, Jussi",,,etunimi.sukunimi.339@example.com,Testiosoite 340,10339,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,E,
342,Oikkonen,Jaana Marjut,"Oikkonen, Jaana",,,etunimi.sukunimi.340@example.com,Testiosoite 341,10340,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,H,
343,Pietinen,Otto Ville,"Pietinen, Otto",,,etunimi.sukunimi.341@example.com,Testiosoite 342,10341,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,ML,
344,Pietinen,Saara Sylvia,"Pietinen, Saara",,,etunimi.sukunimi.342@example.com,Testiosoite 343,10342,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,V,
345,Punamäki,Heta Tyyne Aurora,"Punamäki, Lauri",,,etunimi.sukunimi.343@example.com,Testiosoite 344,10343,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,O,
346,Pörrö,Tanja Irina,"Pörrö, Tanja",,,etunimi.sukunimi.344@example.com,Testiosoite 345,10344,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,B,
347,Rauhala,Paula Maria,"Rauhala, Paula",,,etunimi.sukunimi.345@example.com,Testiosoite 346,10345,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,T,
348,Rosenström,Jan Erik,"Rosenström, Jan",,,etunimi.sukunimi.346@example.com,Testiosoite 347,10346,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,L,
349,Ruuth,Saila Marjaana,"Ruuth, Saila",,,etunimi.sukunimi.347@example.com,Testiosoite 348,10347,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,MM,
350,Saari,Juhani Eero,"Saari, Juhani",,,etunimi.sukunimi.348@example.com,Testiosoite 349,10348,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,K,
351,Salonen,Kuisma Einari,"Salonen, Kuisma",,,etunimi.sukunimi.349@example.com,Testiosoite 350,10349,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,E,
352,Sivonen,Hanna Maria,"Sivonen, Hanna",,,etunimi.sukunimi.350@example.com,Testiosoite 351,10350,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,H,
353,Strömberg,Tomi Aapeli,"Strömberg, Tomi",,,etunimi.sukunimi.351@example.com,Testiosoite 352,10351,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,ML,
354,Taavetti,Riikka Maria,"Taavetti, Riikka",,,etunimi.sukunimi.352@example.com,Testiosoite 353,10352,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,V,
355,Tenkanen,Niilo Ville Johannes,"Tenkanen, Niilo",,,etunimi.sukunimi.353@example.com,Testiosoite 354,10353,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,O,
356,Tolvanen,Pekka Matias,"Tolvanen, Pekka",,,etunimi.sukunimi.354@example.com,Testiosoite 355,10354,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,B,
357,Tuomainen,Katri Ilmi Elina,"Tuomainen, Katri",,,etunimi.sukunimi.355@example.com,Testiosoite 356,10355,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,T,
358,Tuomainen,Risto Olli Oskari,"Tuomainen, Risto",,,etunimi.sukunimi.356@example.com,Testiosoite 357,10356,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,L,
359,Tuominen,Inka Maaria,"Tuominen, Inka",,,etunimi.sukunimi.357@example.com,Testiosoite 358,10357,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,MM,
360,Tuusa,Elina Karoliina,"Tuusa, Elina",,,etunimi.sukunimi.358@example.com,Testiosoite 359,10358,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,K,
361,Uusivuori,Ville Olavi,"Uusivuori, Ville",,,etunimi.sukunimi.359@example.com,Testiosoite 360,10359,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,E,
362,Viljanen,Vuokko Valpuri,"Viljanen, Vuokko",,,etunimi.sukunimi.360@example.com,Testiosoite 361,10360,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,H,
363,Virkkala,Niklas Elias,"Virkkala, Niklas",,,etunimi.sukunimi.361@example.com,Testiosoite 362,10361,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,ML,
364,Vähäpassi,Emmi Tuuva Elina,"Vähäpassi, Emmi",,,etunimi.sukunimi.362@example.com,Testiosoite 363,10362,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,V,
365,Ylä-Anttila,Tuukka Salu Santeri,"Ylä-Anttila, Tuukka",,,etunimi.sukunimi.363@example.com,Testiosoite 364,10363,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,O,
366,Alanko,Vilja Laura Ilona,"Alanko, Vilja",,,etunimi.sukunimi.364@example.com,Testiosoite 365,10364,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,B,
367,Ekqvist,Mikko Juhani,"Ekqvist, Mikko",,,etunimi.sukunimi.365@example.com,Testiosoite 366,10365,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,T,
368,Forselius,Anni Riitta Emilia,"Forselius, Anni",,,etunimi.sukunimi.366@example.com,Testiosoite 367,10366,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,L,
369,Hannula,Anssi Mikael,"Hannula, Anssi",,,etunimi.sukunimi.367@example.com,Testiosoite 368,10367,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,MM,
370,Hausen,Maija Sylvia,"Hausen, Maija",,,etunimi.sukunimi.368@example.com,Testiosoite 369,10368,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,K,
371,Henttonen,Riikka Maaria Elena,"Henttonen, Riikka",,,etunimi.sukunimi.369@example.com,Testiosoite 370,10369,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,E,
372,Holst,Daniel Alexander,"Holst, Alexander",,,etunimi.sukunimi.370@example.com,Testiosoite 371,10370,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,H,
373,Hulkkonen,Ville Herman,"Hulkkonen, Ville",,,etunimi.sukunimi.371@example.com,Testiosoite 372,10371,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,ML,
374,Häkkinen,Aaro Markus Sakari,"Häkkinen, Aaro",,,etunimi.sukunimi.372@example.com,Testiosoite 373,10372,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,V,
375,Härkönen,Jehki Joonatan,"Härkönen, Jehki",,,etunimi.sukunimi.373@example.com,Testiosoite 374,10373,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,O,
376,Jahkola,Lauri Akseli,"Jahkola, Lauri",,,etunimi.sukunimi.374@example.com,Testiosoite 375,10374,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,B,
377,Jauhiainen,Veikko Ilmari,"Jauhiainen, Ilmari",,,etunimi.sukunimi.375@example.com,Testiosoite 376,10375,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,T,
378,Kaijalainen,Olga,"Kaijalainen, Olga",,,etunimi.sukunimi.376@example.com,Testiosoite 377,10376,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,L,
379,Kantola,Annika,"Kantola, Annika",,,etunimi.sukunimi.377@example.com,Testiosoite 378,10377,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,MM,
380,Kari,Emma Karoliina,"Kari, Emma",,,etunimi.sukunimi.378@example.com,Testiosoite 379,10378,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,K,
381,Karhu,Riikka Maria,"Karhu, Riikka",,,etunimi.sukunimi.379@example.com,Testiosoite 380,10379,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,E,
382,Keski-Hakuni,Laura Emelia,"Keski-Hakuni, Laura",,,etunimi.sukunimi.380@example.com,Testiosoite 381,10380,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,H,
383,Kiesiläinen,Jaana Liisa Kaisa,"Kiesiläinen, Jaana",,,etunimi.sukunimi.381@example.com,Testiosoite 382,10381,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,ML,
384,Kirjasniemi,Janne Matti,"Kirjasniemi, Janne",,,etunimi.sukunimi.382@example.com,Testiosoite 383,10382,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,V,
385,Kiuru,Antti Tapio,"Kiuru, Antti",,,etunimi.sukunimi.383@example.com,Testiosoite 384,10383,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,O,
386,Koljonen,Markus Sakari,"Koljonen, Markus",,,etunimi.sukunimi.384@example.com,Testiosoite 385,10384,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,B,
387,Korhonen,Aino Kaarina,"Korhonen, Kaarina",,,etunimi.sukunimi.385@example.com,Testiosoite 386,10385,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,T,
388,Kortteinen,Lotta Kaisa,"Kortteinen, Lotta",,,etunimi.sukunimi.386@example.com,Testiosoite 387,10386,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,L,
389,Korvela,Tiina Maria,"Korvela, Tiina",,,etunimi.sukunimi.387@example.com,Testiosoite 388,10387,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,MM,
390,Koskinen,Anna Maarit,"Koskinen, Anna",,,etunimi.sukunimi.388@example.com,Testiosoite 389,10388,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,K,
391,Kulhia,Jaakko Sakarias,"Kulhia, Jaakko",,,etunimi.sukunimi.389@example.com,Testiosoite 390,10389,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,E,
392,Laakso,Senja Susanna,"Laakso, Senja",,,etunimi.sukunimi.390@example.com,Testiosoite 391,10390,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,H,
393,Lehtonen,Jenni Elina,"Lehtonen, Jenni",,,etunimi.sukunimi.391@example.com,Testiosoite 392,10391,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,ML,
394,Lewis,Oliver,"Lewis, Oliver",,,etunimi.sukunimi.392@example.com,Testiosoite 393,10392,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,V,
395,Lindfors,Jaakko Santeri,"Lindfors, Jaakko",,,etunimi.sukunimi.393@example.com,Testiosoite 394,10393,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,O,
396,Lindström,Jon Michael,"Lindström, Jon",,,etunimi.sukunimi.394@example.com,Testiosoite 395,10394,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,B,
397,Lindström,Mikko Jyrki Johannes,"Lindström, Mikko",,,etunimi.sukunimi.395@example.com,Testiosoite 396,10395,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,T,
398,Mankki,Sarianna Karoliina,"Mankki, Sarianna",,,etunimi.sukunimi.396@example.com,Testiosoite 397,10396,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,L,
399,Marttinen,Jukka Tapio,"Marttinen, Jukka",,,etunimi.sukunimi.397@example.com,Testiosoite 398,10397,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,MM,
400,McKeough,Helena,"McKeough, Helena",,,etunimi.sukunimi.398@example.com,Testiosoite 399,10398,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,K,
401,Muuttomaa,Ville Viljami,"Muuttomaa, Viljami",,,etunimi.sukunimi.399@example.com,Testiosoite 400,10399,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,E,
402,Mynttinen,Laura Pauliina,"Mynttinen, Laura",,,etunimi.sukunimi.400@example.com,Testiosoite 401,10400,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,H,
403,Mörtengren,Daniela Deborah,"Mörtengren, Daniela",,,etunimi.sukunimi.401@example.com,Testiosoite 402,10401,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,ML,
404,Ohisalo,Maria Karoliina,"Ohisalo, Maria",,,etunimi.sukunimi.402@example.com,Testiosoite 403,10402,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,V,
405,Perälä,Erkki Hermanni,"Perälä, Erkki",,,etunimi.sukunimi.403@example.com,Testiosoite 404,10403,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,O,
406,Piiparinen,Niklas Henrik Juhana,"Piiparinen, Niklas",,,etunimi.sukunimi.404@example.com,Testiosoite 405,10404,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,B,
407,Pusa,Satu Maria,"Pusa, Satu",,,etunimi.sukunimi.405@example.com,Testiosoite 406,10405,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,T,
408,Raittila,Simo Ahti Aleksi,"Raittila, Simo",,,etunimi.sukunimi.406@example.com,Testiosoite 407,10406,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,L,
409,Rentola,Joonas Ilmari,"Rentola, Joonas",,,etunimi.sukunimi.407@example.com,Testiosoite 408,10407,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,MM,
410,R Farag,Jamila,"R Farag, Jamila",,,etunimi.sukunimi.408@example.com,Testiosoite 409,10408,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,K,
411,Rinkineva,Suvi Maria,"Rinkineva, Suvi",,,etunimi.sukunimi.409@example.com,Testiosoite 410,10409,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,E,
412,Räisänen,Hanna Marika,"Räisänen, Hanna",,,etunimi.sukunimi.410@example.com,Testiosoite 411,10410,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,H,
413,Salovaara,Antti Samuli,"Salovaara, Antti",,,etunimi.sukunimi.411@example.com,Testiosoite 412,10411,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,ML,
414,Saxen,Niklas Otto,"Saxen, Niklas",,,etunimi.sukunimi.412@example.com,Testiosoite 413,10412,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,V,
415,Silkelä,Elina Talvikki,"Silkelä, Elina",,,etunimi.sukunimi.413@example.com,Testiosoite 414,10413,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,O,
416,Sjövall,Anna-Leena,"Sjövall, Anna",,,etunimi.sukunimi.414@example.com,Testiosoite 415,10414,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,B,
417,Sulander,Essi Inkeri,"Sulander, Essi",,,etunimi.sukunimi.415@example.com,Testiosoite 416,10415,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,T,
418,Tulenheimo,Martti Olavi,"Tulenheimo, Martti",,,etunimi.sukunimi.416@example.com,Testiosoite 417,10416,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,L,
419,Tuure,Tuomas Ville Mikael,"Tuure, Tuomas",,,etunimi.sukunimi.417@example.com,Testiosoite 418,10417,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,MM,
420,Urhonen,Amu Anna-Maria,"Urhonen, Amu",,,etunimi.sukunimi.418@example.com,Testiosoite 419,10418,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,K,
421,Valkama,Elina Cecilia,"Valkama, Elina",,,etunimi.sukunimi.419@example.com,Testiosoite 420,10419,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,E,
422,Voutilainen,Erika Eveliina,"Voutilainen, Erika",,,etunimi.sukunimi.420@example.com,Testiosoite 421,10420,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,H,
423,Väyrynen,Taru Anna Elina,"Väyrynen, Taru",,,etunimi.sukunimi.421@example.com,Testiosoite 422,10421,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,ML,
424,Waltari,Pyry Petteri,"Waltari, Pyry",,,etunimi.sukunimi.422@example.com,Testiosoite 423,10422,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,V,
425,Warius,Johanna Maria Larsdotter,"Warius, Johanna",,,etunimi.sukunimi.423@example.com,Testiosoite 424,10423,Helsinki,1,HYYn Vihreät - De Gröna vid HUS,O,
426,Sinisalo,Aino Elisa,"Sinisalo, Aino",,,etunimi.sukunimi.424@example.com,Testiosoite 425,10424,Helsinki,9,ESO,B,
427,Salminen,Aleksi Kustaa,"Salminen, Aleksi",,,etunimi.sukunimi.425@example.com,Testiosoite 426,10425,Helsinki,9,ESO,T,
428,Laulajainen,Anette Katariina,"Laulajainen, Anette",,,etunimi.sukunimi.426@example.com,Testiosoite 427,10426,Helsinki,9,ESO,L,
429,Heikkilä,Anja Kaarina,"Heikkilä, Anja",,,etunimi.sukunimi.427@example.com,Testiosoite 428,10427,Helsinki,9,ESO,MM,
430,Björklund,Antti Gustav Rikhard,"Björklund, Antti",,,etunimi.sukunimi.428@example.com,Testiosoite 429,10428,Helsinki,9,ESO,K,
431,Kosonen,Antti Heikki Tapani,"Kosonen, Antti",,,etunimi.sukunimi.429@example.com,Testiosoite 430,10429,Helsinki,9,ESO,E,
432,Pelanteri,Antti Hermanni,"Pelanteri, Antti",,,etunimi.sukunimi.430@example.com,Testiosoite 431,10430,Helsinki,9,ESO,H,
433,Saarsalmi,Auli Merikki,"Saarsalmi, Auli",,,etunimi.sukunimi.431@example.com,Testiosoite 432,10431,Helsinki,9,ESO,ML,
434,Seitz,Deni Johan,"Seitz, Deni 'puf'",,,etunimi.sukunimi.432@example.com,Testiosoite 433,10432,Helsinki,9,ESO,V,
435,Huttunen,Elina,"Huttunen, Elina",,,etunimi.sukunimi.433@example.com,Testiosoite 434,10433,Helsinki,9,ESO,O,
436,Miettinen,Emma Karoliina,"Miettinen, Emma",,,etunimi.sukunimi.434@example.com,Testiosoite 435,10434,Helsinki,9,ESO,B,
437,Vuorio,Emma Kaisa Johanna,"Vuorio, Emma",,,etunimi.sukunimi.435@example.com,Testiosoite 436,10435,Helsinki,9,ESO,T,
438,Lehtonen,Esko Pekka,"Lehtonen, Esko",,,etunimi.sukunimi.436@example.com,Testiosoite 437,10436,Helsinki,9,ESO,L,
439,Slotte,Eva-Stina Merith,"Slotte, Eva-Stina",,,etunimi.sukunimi.437@example.com,Testiosoite 438,10437,Helsinki,9,ESO,MM,
440,Lämsä,Hanna Eveliina,"Lämsä, Hanna",,,etunimi.sukunimi.438@example.com,Testiosoite 439,10438,Helsinki,9,ESO,K,
441,Vanala,Hanna-Liina,"Vanala, Hanna",,,etunimi.sukunimi.439@example.com,Testiosoite 440,10439,Helsinki,9,ESO,E,
442,Hotti,Hannu Sakari,"Hotti, Hannu",,,etunimi.sukunimi.440@example.com,Testiosoite 441,10440,Helsinki,9,ESO,H,
443,Peiponen,Heidi Katriina,"Peiponen, Heidi",,,etunimi.sukunimi.441@example.com,Testiosoite 442,10441,Helsinki,9,ESO,ML,
444,Koivupalo,Heikki Tapani,"Koivupalo, Heikki",,,etunimi.sukunimi.442@example.com,Testiosoite 443,10442,Helsinki,9,ESO,V,
445,Hyvärinen,Heini Helinä,"Hyvärinen, Heini",,,etunimi.sukunimi.443@example.com,Testiosoite 444,10443,Helsinki,9,ESO,O,
446,Nurmikari,Maria Helena Elisabeth,"Nurmikari, Helena",,,etunimi.sukunimi.444@example.com,Testiosoite 445,10444,Helsinki,9,ESO,B,
447,Ora,Inka Elina,"Ora, Inka",,,etunimi.sukunimi.445@example.com,Testiosoite 446,10445,Helsinki,9,ESO,T,
448,Stolt,Jani Petteri,"Stolt, Jani",,,etunimi.sukunimi.446@example.com,Testiosoite 447,10446,Helsinki,9,ESO,L,
449,Nyman,Jere Fred Olavi,"Nyman, Jere",,,etunimi.sukunimi.447@example.com,Testiosoite 448,10447,Helsinki,9,ESO,MM,
450,Kangas,Jertta Maarit,"Kangas, Jertta",,,etunimi.sukunimi.448@example.com,Testiosoite 449,10448,Helsinki,9,ESO,K,
451,Riitakorpi,Johanna Maria Elisabeth,"Riitakorpi, Johanna",,,etunimi.sukunimi.449@example.com,Testiosoite 450,10449,Helsinki,9,ESO,E,
452,Sihvonen,Juha Erik Michael,"Sihvonen, Juha",,,etunimi.sukunimi.450@example.com,Testiosoite 451,10450,Helsinki,9,ESO,H,
453,Tiainen,Sanna Kaisa,"Tiainen, Kaisa",,,etunimi.sukunimi.451@example.com,Testiosoite 452,10451,Helsinki,9,ESO,ML,
454,Ignatius,Karoliina Ida Aleksandra,"Ignatius, Karoliina",,,etunimi.sukunimi.452@example.com,Testiosoite 453,10452,Helsinki,9,ESO,V,
455,Rapala,Katariina Sini-Tuulia,"Rapala, Katariina",,,etunimi.sukunimi.453@example.com,Testiosoite 454,10453,Helsinki,9,ESO,O,
456,Joensuu,Katri-Mari Sofia,"Joensuu, Katri",,,etunimi.sukunimi.454@example.com,Testiosoite 455,10454,Helsinki,9,ESO,B,
457,Tolkki,Katri Johanna,"Tolkki, Katri",,,etunimi.sukunimi.455@example.com,Testiosoite 456,10455,Helsinki,9,ESO,T,
458,Ruuska,Anna Kerttu,"Ruuska, Kerttu",,,etunimi.sukunimi.456@example.com,Testiosoite 457,10456,Helsinki,9,ESO,L,
459,Iltala,Laura Elina,"Iltala, Laura",,,etunimi.sukunimi.457@example.com,Testiosoite 458,10457,Helsinki,9,ESO,MM,
460,Penttilä,Pia Laura Anneli,"Penttilä, Laura",,,etunimi.sukunimi.458@example.com,Testiosoite 459,10458,Helsinki,9,ESO,K,
461,Hurme,Lauramaija Helena,"Hurme, Lauramaija 'Lauris'",,,etunimi.sukunimi.459@example.com,Testiosoite 460,10459,Helsinki,9,ESO,E,
462,Saviranta,Lauri Aleksi,"Saviranta, Lauri",,,etunimi.sukunimi.460@example.com,Testiosoite 461,10460,Helsinki,9,ESO,H,
463,Airosmaa,Maiju Annika,"Airosmaa, Maiju",,,etunimi.sukunimi.461@example.com,Testiosoite 462,10461,Helsinki,9,ESO,ML,
464,Laaksonen,Maiju Tuulia,"Laaksonen, Maiju",,,etunimi.sukunimi.462@example.com,Testiosoite 463,10462,Helsinki,9,ESO,V,
465,Myllymäki,Meri Jenny Emilia,"Myllymäki, Meri",,,etunimi.sukunimi.463@example.com,Testiosoite 464,10463,Helsinki,9,ESO,O,
466,Kosloff,Mikael Aleksanteri,"Kosloff, Mikael",,,etunimi.sukunimi.464@example.com,Testiosoite 465,10464,Helsinki,9,ESO,B,
467,Laakso,Mikko Johannes,"Laakso, Mikko",,,etunimi.sukunimi.465@example.com,Testiosoite 466,10465,Helsinki,9,ESO,T,
468,Komulainen,Mirja valpuri,"Komulainen, Mirja",,,etunimi.sukunimi.466@example.com,Testiosoite 467,10466,Helsinki,9,ESO,L,
469,Ojala,Pauliina Elina,"Ojala, Pauliina",,,etunimi.sukunimi.467@example.com,Testiosoite 468,10467,Helsinki,9,ESO,MM,
470,Heikkonen,Petri-Tapio,"Heikkonen, Petri-Tapio",,,etunimi.sukunimi.468@example.com,Testiosoite 469,10468,Helsinki,9,ESO,K,
471,Paalasmaa,Salla Aino,"Paalasmaa, Salla",,,etunimi.sukunimi.469@example.com,Testiosoite 470,10469,Helsinki,9,ESO,E,
472,Latva-Äijö,Salla-Maaria,"Latva-Äijö, Salla",,,etunimi.sukunimi.470@example.com,Testiosoite 471,10470,Helsinki,9,ESO,H,
473,Varjonen,Sampo Mikael,"Varjonen, Sampo",,,etunimi.sukunimi.471@example.com,Testiosoite 472,10471,Helsinki,9,ESO,ML,
474,Vainikka,Satu Elina,"Vainikka, Satu",,,etunimi.sukunimi.472@example.com,Testiosoite 473,10472,Helsinki,9,ESO,V,
475,Nousiainen,Silja Johanna,"Nousiainen, Silja",,,etunimi.sukunimi.473@example.com,Testiosoite 474,10473,Helsinki,9,ESO,O,
476,Mäkinen,Simo Valtteri,"Mäkinen, Simo",,,etunimi.sukunimi.474@example.com,Testiosoite 475,10474,Helsinki,9,ESO,B,
477,Kuuluvainen,Soila Maria,"Kuuluvainen, Soila",,,etunimi.sukunimi.475@example.com,Testiosoite 476,10475,Helsinki,9,ESO,T,
478,Paikkala,Terhi Rauna Maarit,"Paikkala, Terhi",,,etunimi.sukunimi.476@example.com,Testiosoite 477,10476,Helsinki,9,ESO,L,
479,Mörsky,Tiia-Tuulia Marianne,"Mörsky, Tiia",,,etunimi.sukunimi.477@example.com,Testiosoite 478,10477,Helsinki,9,ESO,MM,
480,Söderholm,Tiina Henriikka Aleksandra,"Söderholm, Tiina",,,etunimi.sukunimi.478@example.com,Testiosoite 479,10478,Helsinki,9,ESO,K,
481,Rask,Tobias Matias,"Rask, Tobias",,,etunimi.sukunimi.479@example.com,Testiosoite 480,10479,Helsinki,9,ESO,E,
482,Hänninen,Ulrika Anna Maria,"Hänninen, Ulrika",,,etunimi.sukunimi.480@example.com,Testiosoite 481,10480,Helsinki,9,ESO,H,
483,Ryynänen,Veera Vilhelmiina,"Ryynänen, Veera",,,etunimi.sukunimi.481@example.com,Testiosoite 482,10481,Helsinki,9,ESO,ML,
484,Jarmala,Veikko Johannes,"Jarmala, Veikko",,,etunimi.sukunimi.482@example.com,Testiosoite 483,10482,Helsinki,9,ESO,V,
485,Kajanti,Vilja Inga Wilhelmiina,"Kajanti, Vilja",,,etunimi.sukunimi.483@example.com,Testiosoite 484,10483,Helsinki,9,ESO,O,
486,Virtanen,Anna Martta Elina,"Virtanen, Anna",,,etunimi.sukunimi.484@example.com,Testiosoite 485,10484,Helsinki,20,SavO,B,
487,Oittinen,Annamari Johanna,"Oittinen, Annamari",,,etunimi.sukunimi.485@example.com,Testiosoite 486,10485,Helsinki,20,SavO,T,
488,Holopainen,Anne Dora,"Holopainen, Anne",,,etunimi.sukunimi.486@example.com,Testiosoite 487,10486,Helsinki,20,SavO,L,
489,Hirsaho,Anni Tuulikki,"Hirsaho, Anni",,,etunimi.sukunimi.487@example.com,Testiosoite 488,10487,Helsinki,20,SavO,MM,
490,Kirkkala,Antti Juhani,"Kirkkala, Antti",,,etunimi.sukunimi.488@example.com,Testiosoite 489,10488,Helsinki,20,SavO,K,
491,Vauhkonen,Antti Tapani,"Vauhkonen, Antti",,,etunimi.sukunimi.489@example.com,Testiosoite 490,10489,Helsinki,20,SavO,E,
